iter	Passed	Remaining
0	3	3816
1	6	3161
2	8	2814
3	10	2624
4	12	2553
5	14	2434
6	17	2473
7	19	2409
8	21	2374
9	23	2329
10	25	2320
11	28	2358
12	31	2354
13	33	2339
14	35	2318
15	37	2308
16	39	2297
17	41	2281
18	43	2254
19	45	2235
20	48	2238
21	50	2241
22	52	2238
23	55	2240
24	57	2232
25	59	2226
26	61	2220
27	63	2214
28	65	2206
29	67	2192
30	69	2182
31	72	2178
32	73	2167
33	75	2157
34	77	2149
35	79	2137
36	81	2130
37	83	2122
38	85	2108
39	87	2097
40	89	2088
41	91	2078
42	93	2070
43	95	2064
44	96	2054
45	98	2052
46	101	2049
47	102	2041
48	105	2038
49	107	2042
50	109	2038
51	111	2033
52	113	2024
53	115	2017
54	117	2014
55	119	2007
56	120	1999
57	122	1993
58	124	1987
59	126	1980
60	128	1980
61	130	1976
62	132	1977
63	134	1972
64	137	1972
65	139	1968
66	141	1965
67	143	1962
68	145	1956
69	147	1953
70	148	1949
71	150	1944
72	152	1942
73	155	1939
74	157	1937
75	159	1936
76	161	1940
77	164	1939
78	166	1937
79	168	1934
80	170	1931
81	172	1926
82	174	1924
83	176	1924
84	178	1924
85	180	1919
86	182	1917
87	184	1913
88	186	1909
89	188	1903
90	190	1902
91	192	1897
92	194	1901
93	196	1898
94	199	1896
95	201	1894
96	203	1892
97	205	1890
98	207	1886
99	209	1882
100	211	1878
101	212	1875
102	214	1871
103	216	1868
104	218	1865
105	220	1862
106	222	1858
107	224	1853
108	226	1852
109	228	1851
110	231	1852
111	233	1848
112	235	1846
113	237	1842
114	239	1840
115	241	1838
116	243	1836
117	245	1836
118	247	1833
119	249	1832
120	251	1830
121	253	1826
122	256	1828
123	258	1825
124	261	1827
125	263	1825
126	265	1822
127	267	1821
128	269	1818
129	271	1816
130	273	1813
131	275	1811
132	277	1808
133	279	1805
134	281	1806
135	283	1803
136	285	1800
137	288	1799
138	289	1796
139	291	1793
140	293	1790
141	296	1789
142	298	1788
143	300	1786
144	302	1783
145	304	1781
146	306	1778
147	308	1778
148	310	1775
149	312	1772
150	314	1769
151	316	1766
152	318	1763
153	320	1760
154	322	1756
155	324	1753
156	326	1753
157	328	1752
158	330	1749
159	332	1746
160	334	1745
161	336	1741
162	338	1737
163	340	1734
164	342	1731
165	344	1730
166	346	1729
167	348	1726
168	350	1723
169	352	1720
170	354	1719
171	356	1716
172	358	1714
173	360	1713
174	362	1711
175	364	1708
176	366	1706
177	369	1706
178	371	1703
179	373	1701
180	375	1699
181	377	1697
182	379	1694
183	381	1691
184	383	1689
185	385	1686
186	387	1685
187	389	1683
188	392	1682
189	394	1681
190	396	1679
191	398	1677
192	400	1673
193	402	1671
194	404	1670
195	406	1667
196	408	1664
197	410	1663
198	413	1662
199	415	1660
200	417	1657
201	419	1656
202	421	1656
203	424	1655
204	426	1654
205	428	1652
206	430	1649
207	432	1646
208	434	1644
209	436	1642
210	438	1639
211	440	1637
212	442	1636
213	444	1634
214	446	1631
215	448	1628
216	450	1626
217	452	1623
218	454	1621
219	456	1619
220	459	1620
221	461	1618
222	463	1615
223	465	1614
224	468	1612
225	470	1611
226	472	1609
227	474	1607
228	476	1604
229	478	1602
230	480	1599
231	482	1597
232	484	1596
233	486	1594
234	489	1592
235	491	1591
236	493	1590
237	496	1588
238	498	1586
239	500	1584
240	502	1582
241	504	1581
242	507	1579
243	509	1577
244	511	1575
245	513	1574
246	515	1572
247	517	1570
248	519	1568
249	521	1565
250	524	1565
251	526	1564
252	529	1562
253	531	1560
254	533	1558
255	535	1556
256	537	1554
257	540	1553
258	542	1551
259	544	1549
260	546	1547
261	548	1545
262	550	1542
263	552	1540
264	554	1538
265	556	1536
266	558	1534
267	560	1531
268	562	1529
269	564	1527
270	567	1526
271	569	1523
272	571	1521
273	573	1518
274	575	1516
275	577	1514
276	579	1512
277	581	1509
278	583	1507
279	585	1504
280	587	1502
281	589	1501
282	592	1499
283	594	1498
284	595	1495
285	598	1493
286	600	1491
287	602	1488
288	604	1487
289	606	1484
290	608	1483
291	611	1481
292	613	1479
